Iteration, Train set loss, Test set loss
0, 0.17296444560808594, 0.172025865492673
5, 0.1475936578791038, 0.14356443238392363
10, 0.12562125323727052, 0.12106333917754043
15, 0.1120944567610515, 0.10730089830618342
20, 0.10455628219841784, 0.09960013657435748
25, 0.09950922801166807, 0.09449892588102576
30, 0.09605143560583676, 0.09106134196084432
35, 0.09334905120651812, 0.08845757964687116
40, 0.0909633799165629, 0.08616861501120288
45, 0.08890127310346001, 0.08421503334022494
50, 0.0875249083122694, 0.08295963617550041
55, 0.08668381423043739, 0.08225462695621201
60, 0.0855632972208055, 0.08126434470270362
65, 0.08439554005885673, 0.08021531076460017
70, 0.08312797895907856, 0.07904001334558453
75, 0.08154973136957851, 0.0775198971091453
80, 0.07932944934136134, 0.07536216893869027
85, 0.07631808939923056, 0.0724849678655556
90, 0.07280062643103513, 0.06918000546667553
95, 0.0692491463069593, 0.06587436746243237
100, 0.06623946033510505, 0.06308906671936886
105, 0.06340490142207438, 0.060467670563209876
110, 0.060137504306951715, 0.05741974001284998
115, 0.05707229944027305, 0.0545492282353759
120, 0.05440817302249314, 0.052047527409809224
125, 0.052190279598869085, 0.04995811321799224
130, 0.050387364266903344, 0.048252080336070424
135, 0.04892839957106594, 0.046863137475401676
140, 0.04772913437890141, 0.045712831685510553
145, 0.04671177434353843, 0.044729298809808186
150, 0.04582019244216508, 0.04386162566693974
155, 0.0450252612780329, 0.04308399347883611
160, 0.04431469223239412, 0.042384120681221576
165, 0.04368191349241904, 0.04175236620329636
170, 0.04312473165527093, 0.04118437276292362
175, 0.04264839491617812, 0.040686387866087685
180, 0.042268506375441446, 0.04027521635054882
185, 0.04200441531438744, 0.03996996241212396
190, 0.041849779312698066, 0.039765191728699426
195, 0.0417135977566694, 0.039578383910248364
200, 0.04151805010355946, 0.03935178670286768
