Iteration, Train set loss, Test set loss
0, 0.17592538462565718, 0.17525763555222212
5, 0.17583747248699277, 0.17516753967576632
10, 0.17510614443671194, 0.17436717622582812
15, 0.15846963857865168, 0.15518102788135804
20, 0.134523205600175, 0.12991003489198327
25, 0.11319189047928806, 0.10810971439589587
30, 0.10334671345434984, 0.09802239764087105
35, 0.09716827795267761, 0.09183596679783128
40, 0.09282685074487478, 0.08759706041219517
45, 0.08947275575717152, 0.08437727174972115
50, 0.08665315256107538, 0.08172640408288565
55, 0.08406125343870606, 0.07930258373499419
60, 0.08169387498669475, 0.07709973633588839
65, 0.07959419210899207, 0.07516267244885402
70, 0.0777322362338727, 0.07346606918496708
75, 0.07606778565907713, 0.07198011631453471
80, 0.07456944078950226, 0.07068444800013554
85, 0.07321885858292244, 0.06956420088991525
90, 0.07199146072115607, 0.06858804857768813
95, 0.07078459114852272, 0.06764222251842168
100, 0.06950849336807945, 0.06662675298691413
105, 0.0681665269616607, 0.06553822982468002
110, 0.06673168143509547, 0.06434822973723768
115, 0.06515831883659914, 0.06301186982391345
120, 0.06341644167291977, 0.06149873976894634
125, 0.061501339545486464, 0.05980797198403143
130, 0.05947382415517311, 0.058011111571961274
135, 0.05746257096550062, 0.05623742557734387
140, 0.055523931536081636, 0.054531782093276734
145, 0.053609777860123185, 0.05283835047219756
150, 0.05163864561950974, 0.051076228665502245
155, 0.04955461351098339, 0.049191349425038514
160, 0.04737686666984948, 0.04719304959323449
165, 0.04521686790640007, 0.045174195755024134
170, 0.04311726996421635, 0.04317989753677876
175, 0.04108525747098444, 0.041233962172708805
180, 0.039274385550431924, 0.03949702530950147
185, 0.03788600225768444, 0.03817153306988714
190, 0.03633945159844912, 0.03669515147746846
195, 0.03485905451225122, 0.03527293227501256
200, 0.03386240508255705, 0.03431933671344039
