Iteration, Train set loss, Test set loss
0, 0.17523742866368255, 0.17443767242796754
5, 0.14869886206864785, 0.14464188897895822
10, 0.1267660729355451, 0.12218480056888183
15, 0.11322669512027796, 0.10842335862857198
20, 0.10565033870901641, 0.10068566664614714
25, 0.1008080741517666, 0.09576091374220772
30, 0.09729970587712997, 0.09224133503028446
35, 0.09456215417591127, 0.08954068993337466
40, 0.0926553574410559, 0.08773250460325296
45, 0.0907143870902313, 0.08589960385462045
50, 0.08881785693042718, 0.08411092946813398
55, 0.08684655579173724, 0.08224872718588365
60, 0.08468594647221618, 0.08020311443272254
65, 0.08314959843045283, 0.07881742195609683
70, 0.08053774124807835, 0.07645934640180618
75, 0.07691012725801086, 0.07312501481113387
80, 0.0728182561731355, 0.0693357742728598
85, 0.06856406369936419, 0.06538479043635449
90, 0.06447453398293615, 0.06157850428232518
95, 0.06076901059144692, 0.058120926202666304
100, 0.057534472379068155, 0.05509416226024264
105, 0.05476703942920751, 0.05249622803060827
110, 0.052424808986095785, 0.05028979637262685
115, 0.05045903028262833, 0.04843121926559052
120, 0.048824765096585065, 0.04688002170610534
125, 0.047486128357762725, 0.04560321706239308
130, 0.04641817773227496, 0.04457688857266069
135, 0.04560400718902024, 0.04378390486705661
140, 0.04502885512058583, 0.04320909974202901
145, 0.044658642757521703, 0.042819502032689805
150, 0.04438426011861417, 0.04251301864477224
155, 0.044050339544477526, 0.04214686085579432
160, 0.04361770078793926, 0.04168825971859985
165, 0.043137816393470474, 0.04118791810584661
170, 0.0426587370399276, 0.04069149116795672
175, 0.04220927285810267, 0.04022552753261166
180, 0.04180329338351734, 0.03980213824740076
185, 0.04144336410822905, 0.03942253802121836
190, 0.04112246963805907, 0.03907848259923664
195, 0.04083089733804018, 0.03875918243700954
200, 0.04061705938836111, 0.03851971315917935
