Iteration, Train set loss, Test set loss
0, 0.17570236346310308, 0.17491388581751874
5, 0.1493517316856075, 0.14524936346035247
10, 0.12542907939446737, 0.12089788254293767
15, 0.11272347420537476, 0.10802147182508555
20, 0.10585139026181553, 0.1010128647252656
25, 0.10147703014355715, 0.09656733307075448
30, 0.09831544446728036, 0.09339800020599447
35, 0.09588967009519993, 0.09101369202419701
40, 0.09392973915799564, 0.08913037435085332
45, 0.09231477110521924, 0.08761499420764282
50, 0.09100782831407553, 0.08642222242489649
55, 0.08989639845049625, 0.08542951006345169
60, 0.08876861528811895, 0.08439287642834815
65, 0.08768400694042816, 0.0833701845275412
70, 0.08647480869212927, 0.08225172638549236
75, 0.08490675147969164, 0.08079491496525959
80, 0.08278618442996726, 0.07883760080890112
85, 0.08005987192799591, 0.07637493578344341
90, 0.07677786869297185, 0.07344998451881103
95, 0.07316084954333854, 0.07022269443576476
100, 0.06953945810965252, 0.06696038799900121
105, 0.06615709254788082, 0.06388367427878823
110, 0.0631122131799718, 0.061088923515864445
115, 0.06043310042956643, 0.05860701916407724
120, 0.0581023497065766, 0.056427169549643094
125, 0.05607814915861038, 0.05451869339946406
130, 0.05432825968034003, 0.05285847217935109
135, 0.052854147184108836, 0.05145193176564717
140, 0.05169923158838698, 0.05034187693633493
145, 0.050910087166341725, 0.04957211726897011
150, 0.0501173458095936, 0.04878812777804801
155, 0.049136671824374006, 0.047817706029448036
160, 0.04817409196594534, 0.046863544853218815
165, 0.04729173008777157, 0.045986516493497887
170, 0.046494943309943866, 0.04519232437789406
175, 0.045774669490843, 0.044473029470136066
180, 0.04511433688480253, 0.04381378011954977
185, 0.044491306241528854, 0.04319422626071437
190, 0.04388743222321144, 0.04259811256491133
195, 0.04331212480035196, 0.04203359801464978
200, 0.04289004177978793, 0.04162013250746567
